Report Type : StationReport,,,,
Date,Time,NO,NO2,NOX
,,ppb,ppb,ppb
6/21/19,12:00 AM,19.7,13.9,33.7
6/22/19,12:00 AM,14.5,11.7,26.3
6/23/19,12:00 AM,6.8,8.6,15.5
6/24/19,12:00 AM,13.6,12.5,26.1
6/25/19,12:00 AM,22.9,17.3,40.2
6/26/19,12:00 AM,22,18.7,40.7
6/27/19,12:00 AM,16.4,15,31.5
6/28/19,12:00 AM,19.5,16,35.6
6/29/19,12:00 AM,17.8,13.5,31.4
6/30/19,12:00 AM,16,13,29.2
7/1/19,12:00 AM,35,20.6,55.6
7/2/19,12:00 AM,28.8,20,49
7/3/19,12:00 AM,44.7,20.2,65
7/4/19,12:00 AM,18.2,16.8,35.1
7/5/19,12:00 AM,21.3,14.8,36.3
7/6/19,12:00 AM,16.3,12,28.4
7/7/19,12:00 AM,8,9.6,17.7
7/8/19,12:00 AM,41.7,23,64.8
7/9/19,12:00 AM,43.5,23.8,67.4
7/10/19,12:00 AM,26.3,13.7,40.1
7/11/19,12:00 AM,34.5,19.6,54.1
7/12/19,12:00 AM,38.4,16.6,55.1
7/13/19,12:00 AM,18.1,10.3,28.5
7/14/19,12:00 AM,14.9,12.1,27.1
7/15/19,12:00 AM,27,18.5,45.6
7/16/19,12:00 AM,47.3,22,69.4
7/17/19,12:00 AM,17.4,11.7,29.2
7/18/19,12:00 AM,8,8.4,16.4
7/19/19,12:00 AM,17.8,11.3,29.2
7/20/19,12:00 AM,10.9,12.2,23.1
7/21/19,12:00 AM,19.7,19.3,39.1
7/22/19,12:00 AM,21.1,15.1,36.2
7/23/19,12:00 AM,24.6,12.9,37.6
7/24/19,12:00 AM,17.1,13.5,30.6
7/25/19,12:00 AM,18.2,13.5,31.9
7/26/19,12:00 AM,36.2,15.1,51.4
